NOME,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q1_nota,Q2_nota,Q3_nota,Q4_nota,Q5_nota,Q6_nota,Q7_nota,Q8_nota,Q9_nota,Total_Soma
Aluno 02,1,0,0,-1,1,1,1,1,1,1.2,0.6,0.6,0.0,1.2,1.2,1.2,1.2,1.2,8.4
Aluno 03,1,0,0,0,1,1,1,-1,-1,1.2,0.6,0.6,0.6,1.2,1.2,1.2,0.0,0.0,6.6000000000000005
Aluno 04,-1,0,0,-1,0,1,-1,-1,-1,0.0,0.6,0.6,0.0,0.6,1.2,0.0,0.0,0.0,3.0
Aluno 05,1,0,0,0,1,1,1,1,1,1.2,0.6,0.6,0.6,1.2,1.2,1.2,1.2,1.2,9.0
Aluno 06,1,0,0,-1,1,-1,-1,-1,-1,1.2,0.6,0.6,0.0,1.2,0.0,0.0,0.0,0.0,3.5999999999999996
Aluno 07,1,0,-1,0,1,1,-1,-1,-1,1.2,0.6,0.0,0.6,1.2,1.2,0.0,0.0,0.0,4.8
Aluno 09,-1,-1,-1,-1,1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2
Aluno 10,1,0,0,-1,0,1,1,1,1,1.2,0.6,0.6,0.0,0.6,1.2,1.2,1.2,1.2,7.800000000000001
Aluno 11,1,0,0,0,0,1,1,1,1,1.2,0.6,0.6,0.6,0.6,1.2,1.2,1.2,1.2,8.4
Aluno 12,1,0,0,-1,1,1,-1,1,-1,1.2,0.6,0.6,0.0,1.2,1.2,0.0,1.2,0.0,6.0
Aluno 13,1,0,0,-1,1,1,-1,0,1,1.2,0.6,0.6,0.0,1.2,1.2,0.0,0.6,1.2,6.6
Aluno 14,1,0,0,0,1,1,0,1,1,1.2,0.6,0.6,0.6,1.2,1.2,0.6,1.2,1.2,8.4
Aluno 15,1,-1,0,-1,-1,-1,-1,-1,-1,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998
Aluno 16,1,0,-1,-1,-1,-1,0,-1,-1,1.2,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.4
Aluno 18,1,0,0,0,1,1,-1,1,0,1.2,0.6,0.6,0.6,1.2,1.2,0.0,1.2,0.6,7.2
Aluno 19,1,0,0,0,1,0,-1,-1,-1,1.2,0.6,0.6,0.6,1.2,0.6,0.0,0.0,0.0,4.8
Aluno 20,1,0,0,-1,1,-1,0,-1,-1,1.2,0.6,0.6,0.0,1.2,0.0,0.6,0.0,0.0,4.199999999999999
Aluno 21,-1,0,0,0,1,1,1,1,1,0.0,0.6,0.6,0.6,1.2,1.2,1.2,1.2,1.2,7.800000000000001
Aluno 22,1,0,0,1,1,-1,1,0,0,1.2,0.6,0.6,1.2,1.2,0.0,1.2,0.6,0.6,7.199999999999999
Aluno 24,1,0,-1,-1,1,-1,-1,-1,-1,1.2,0.6,0.0,0.0,1.2,0.0,0.0,0.0,0.0,3.0
Aluno 25,1,-1,-1,-1,1,-1,-1,-1,-1,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.4
Aluno 26,1,-1,0,-1,1,-1,1,0,0,1.2,0.0,0.6,0.0,1.2,0.0,1.2,0.6,0.6,5.3999999999999995
Aluno 28,1,0,-1,0,1,0,0,1,0,1.2,0.6,0.0,0.6,1.2,0.6,0.6,1.2,0.6,6.599999999999999
Aluno 30,1,0,0,-1,1,-1,0,1,-1,1.2,0.6,0.6,0.0,1.2,0.0,0.6,1.2,0.0,5.3999999999999995
Aluno 31,1,0,-1,-1,1,-1,-1,0,-1,1.2,0.6,0.0,0.0,1.2,0.0,0.0,0.6,0.0,3.6
Aluno 32,1,0,-1,0,1,-1,-1,-1,-1,1.2,0.6,0.0,0.6,1.2,0.0,0.0,0.0,0.0,3.5999999999999996
Aluno 33,1,-1,-1,1,1,0,1,-1,0,1.2,0.0,0.0,1.2,1.2,0.6,1.2,0.0,0.6,5.999999999999999
Aluno 34,1,-1,-1,-1,1,-1,-1,-1,-1,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.4
Aluno 35,1,0,0,0,1,-1,-1,-1,-1,1.2,0.6,0.6,0.6,1.2,0.0,0.0,0.0,0.0,4.2
Aluno 36,1,-1,-1,-1,0,-1,-1,1,-1,1.2,0.0,0.0,0.0,0.6,0.0,0.0,1.2,0.0,3.0
Aluno 37,1,-1,0,0,-1,-1,-1,-1,-1,1.2,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,2.4
Aluno 38,1,0,-1,0,1,1,1,1,1,1.2,0.6,0.0,0.6,1.2,1.2,1.2,1.2,1.2,8.4
Aluno 39,1,0,0,-1,1,-1,-1,-1,-1,1.2,0.6,0.6,0.0,1.2,0.0,0.0,0.0,0.0,3.5999999999999996
