ID,USERID,Nome:,Gênero:,Qual sua faixa etária (idade)?,É a primeira vez que você cursa a disciplina de Programação Estruturada?,"Se a resposta anterior foi ""Não"", informe o motivo?",Você possui alguma experiência na Área de Programação?,Qual o principal motivo para você ter escolhido o curso de Bacharelado em Ciência da Computação?,"Se você marcou na pergunta anterior ""Outro"" informe o motivo abaixo:",Qual a principal razão para você ter escolhido o IFMA Campus Caxias para cursar a graduação?,"Se você marcou na pergunta anterior ""Outro"" informe o motivo abaixo:.1",Qual seu estado civil?,Qual é a sua cor/etnia?,Onde você frequentou o Ensino Médio?,Qual modalidade de ensino médio você concluiu?,"Se na pergunta anterior você marcou ""Profissionalizante técnico"". Qual foi o curso e onde você cursou?","Quantas horas por semana, aproximadamente, você pode dedicar aos estudos (excetuando as horas de aula)?",FEEDBACK_Q1,Q1,NOTA_Q1,FEEDBACK_Q2,Q2,NOTA_Q2,BASE_ALG,FEEDBACK_Q3,Q3,NOTA_Q3,BASE_DEC,FEEDBACK_Q4,Q4,NOTA_Q4,FEEDBACK_Q5,Q5,NOTA_Q5,FEEDBACK_Q6,Q6,NOTA_Q6,BASE_REC,FEEDBACK_Q7,Q7,NOTA_Q7,FEEDBACK_Q8,Q8,NOTA_Q8,FEEDBACK_Q9,Q9,NOTA_Q9,BASE_ABS,TOTAL_CP,Q1_,Q2_,Q3_,Q4_,Q5_,Q6_,Q7_,Q8_,Q9_
aluno 02,56,Aluno 02,Masculino,Menor de 18 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Proximidade da minha residência,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Agropecuária,De quatro a sete horas,"O aluno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,1.25,"O aluno cita que o algoritmo é uma sequencia de passo a passo, no entanto, não se refere que os passos deverão serem finitos e com uma quantidade finita de esforço, conforme o conceito de Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,1.88,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo usou volume, será necessario uma revisão sobre esta base do PC.",P,1.25,1.25,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,0,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,0.83,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,0.83,1.66,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,"A aluna conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",S,0.83,2.49,7.28,1,0,0,-1,1,1,1,1,1
aluno 03,41,Aluno 03,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Inserção no mercado de trabalho,,Gratuidade,,Solteiro(a),Parda,Todo em escola pública,Ensino médio tradicional,,De oito a doze horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,0.63,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,1.26,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo consideou apenas o volume dos cubos, o que prejudicou na resolução da questão, será necessario uma revisão sobre esta base do PC.",P,1.25,1.25,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, mas errou na matemática, assim, será necessário uma revisão sobre esta base do PC",P,0.42,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,0.83,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,0.83,2.08,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,,N,0,,N,0,0.83,5.42,0,0,0,0,1,1,1,-1,-1
aluno 04,25,Aluno 04,Feminino,Entre 18 e 25 anos,Não,Fiz um curso técnico em informática e vi o básico da matéria,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Gratuidade,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Técnico em informática no IEMA de Coroatá,De uma a três horas,"O aluno não conseguiu elaborar a sequência da questão, será necessário a revisão sobre algoritmos.",N,0,"O aluno cita que o algoritmo é um conjunto de instruções, no entanto, não se refere que os passos deverão serem finitos e com uma quantidade finita de esforço, conforme o conceito de Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,0.63,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,1.25,1.25,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,0,"O aluno conseguiu reconhecer o padrão disponível na questão, no entanto errou o calculo matemático, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",P,0.42,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,0.83,1.25,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,0,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,0,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N,0,0,3.13,-1,0,0,-1,0,1,-1,-1,-1
aluno 05,26,Aluno 05,Masculino,Entre 18 e 25 anos,Não,Cursei no Técnico de informática no ifma,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Valorização profissional,,Proximidade da minha residência,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Curso Técnico em Informática no Ifma Campus Caxias,De uma a três horas,"O aluno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,1.25,"O aluno conseguiu elaborar parcialmente o conceito, como uma série de instruções que devem ser seguidas para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,1.88,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,1.25,1.25,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, mas não consegui explicar como chegou ao resultado, assim, será necessário uma revisão sobre esta base do PC",P,0.42,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,0.83,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,0.83,2.08,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,"O aluno conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",S,0.83,2.49,7.7,1,0,0,0,1,1,1,1,1
aluno 06,20,Aluno 06,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Vocação,,Gratuidade,,Solteiro(a),Branca,Todo em escola pública,Ensino médio tradicional,,De uma a três horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,0.63,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,1.26,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,1.25,1.25,,N,0,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,0.83,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,0,0.83,,,0,,,0,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N,0,0,3.34,0,0,0,-1,1,-1,-1,-1,-1
aluno 07,43,Aluno 07,Feminino,Menor de 18 anos,Sim,,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Valorização profissional,,Proximidade da minha residência,,Solteiro(a),Branca,Todo em escola pública,Profissionalizante técnico,Técnico em informática. No próprio campus.,De oito a doze horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,0.63,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,1.26,"O aluno não coseguiu elaborar uma resposta para a questão, nesse caso será necessário uma revisão sobre a decomposição, base do pensamento computacional",N,0,0,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, mas errou na matemática, assim, será necessário uma revisão sobre esta base do PC",P,0.42,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,0.83,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,0.83,2.08,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,0,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,0,,N,0,0,3.34,0,0,-1,0,1,1,-1,-1,-1
aluno 09,40,Aluno 09,Masculino,Acima de 30 anos,Não,A didática do professor não agradou,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Oferta do curso pretendido,,Casado(a),Parda,Todo em escola pública,Ensino médio tradicional,,De uma a três horas,"O aluno não conseguiu elaborar a sequência da questão, será necessário a revisão sobre algoritmos.",N,0,"Apesar de reconhecer a importancia das linguagens de programação, o aluno precisa revisar o conceito de acordo com Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson, autores do livro ""Introduction to Algorithms"", definem algoritmo da seguinte forma: ""Um algoritmo é um conjunto finito de instruções não ambíguas, cada uma das quais pode ser executada mecanicamente em um período de tempo finito e com uma quantidade finita de esforço"".",N,0,0,"O aluno não coseguiu elaborar uma resposta para a questão, nesse caso será necessário uma revisão sobre a decomposição, base do pensamento computacional",N,0,0,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,0,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,0.83,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,0,0.83,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,0,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,0,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N,0,0,0.83,-1,-1,-1,-1,1,-1,-1,-1,-1
aluno 10,50,Aluno 10,Feminino,Entre 18 e 25 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Qualidade/reputação,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,"Técnico em Informática, fiz no IFMA Campus Caxias",De uma a três horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,0.63,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,1.26,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo consideou apenas o volume dos cubos, o que prejudicou na resolução da questão, será necessario uma revisão sobre esta base do PC.",P,1.25,1.25,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,0,"O aluno conseguiu reconhecer o padrão disponível na questão, no entanto errou o calculo matemático, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",P,0.42,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,0.83,1.25,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,"O aluno conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",S,0.83,2.49,6.25,0,0,0,-1,0,1,1,1,1
aluno 11,35,Aluno 11,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Vocação,,Oferta do curso pretendido,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,,De uma a três horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,0.63,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,1.26,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,1.25,1.25,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, mas errou na matemática, assim, será necessário uma revisão sobre esta base do PC",P,0.42,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",P,0.42,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,0.83,1.67,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,"O aluno conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",S,0.83,2.49,6.67,0,0,0,0,0,1,1,1,1
aluno 12,36,Aluno 12,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Vocação,,Proximidade da minha residência,,Solteiro(a),Branca,Todo em escola pública,Ensino médio tradicional,,Mais de doze horas,"O auno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,1.25,"O aluno cita exemplo de algoritmo mas não um conceito, conforme o de Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,0.63,1.88,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo usou volume, será necessario uma revisão sobre esta base do PC.",P,1.25,1.25,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,0,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,0.83,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,0.83,1.66,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,0,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,0.83,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N,0,0.83,5.62,1,0,0,-1,1,1,-1,1,-1
