NOME_ALUNO,Questão 1,Questão 2,Questão 3,Questão 4,Questão 5,Questão 6,Questão 7,Questão 8,Questão 9,Media_Notas,ENTREGAS_NO_PRAZO,TOTAL_ENTREGAS,TAXA_ENGAJAMENTO
aluno 01,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,7.777777777777778,5,8,55.55555555555556
aluno 02,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 03,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 05,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5,9,55.55555555555556
aluno 06,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 07,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,5.0,7.222222222222222,5,8,55.55555555555556
aluno 08,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 09,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4,9,44.44444444444444
aluno 10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 11,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,8.88888888888889,9,9,100.0
aluno 12,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.88888888888889,9,9,100.0
aluno 13,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,9,22.22222222222222
aluno 14,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,2.2222222222222223,6,6,66.66666666666666
aluno 15,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 16,0.0,0.0,10.0,10.0,0.0,5.0,10.0,10.0,10.0,6.111111111111111,7,9,77.77777777777779
aluno 17,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 18,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,5.0,7.222222222222222,8,9,88.88888888888889
aluno 19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 20,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,8.88888888888889,5,8,55.55555555555556
aluno 21,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 22,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 23,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 24,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,7.777777777777778,5,7,55.55555555555556
aluno 25,10.0,10.0,10.0,0.0,10.0,5.0,10.0,0.0,10.0,7.222222222222222,9,9,100.0
aluno 26,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,6.666666666666667,5,6,55.55555555555556
aluno 27,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,8.88888888888889,9,9,100.0
aluno 28,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 29,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 30,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,8.88888888888889,9,9,100.0
aluno 31,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 32,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,7.777777777777778,6,7,66.66666666666666
aluno 33,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9,9,100.0
aluno 34,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,6.666666666666667,5,9,55.55555555555556
aluno 35,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.88888888888889,8,9,88.88888888888889
aluno 36,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,6.666666666666667,5,6,55.55555555555556
